company,segment,period,metric,value,unit,metric_type,source,notes
Swiggy,Food Delivery,Q4 FY26,GOV,9005,INR_crore,gov_gmv,"Swiggy Q4 FY26 press release (medianama.com summary), +22.6% YoY",Directly disclosed by Swiggy
Swiggy,Quick Commerce (Instamart),Q4 FY26,GOV,7881,INR_crore,gov_gmv,"Storyboard18, citing Swiggy Q4 FY26 results, +68.8% YoY",Directly disclosed by Swiggy
Swiggy,Food Delivery,Current (FY26),Ad revenue as % of GOV,4,pct,ad_revenue_pct_of_gov,"Storyboard18, Swiggy FY26 platform services commentary","Disclosed as '>4%' - a floor, not a point estimate. Used as-is; true figure is 4% or higher."
Swiggy,Quick Commerce (Instamart),Forward target,Ad revenue as % of GOV,6.5,pct,ad_revenue_pct_of_gov_TARGET,"Storyboard18, Swiggy FY26 platform services commentary","Disclosed as an EXPECTED future range (6-7%), NOT a current actual figure. Midpoint used, flagged as forward-looking."
Swiggy,Overall,FY26,Platform services revenue,11927,INR_crore,bundled_revenue_not_ad_only,"Storyboard18, citing Swiggy FY26 results, +38% YoY from INR 8631cr FY25","Bundles order facilitation fees + delivery income + advertising + onboarding fees + event income + service charges. NOT usable as a pure ad-revenue figure — excluded from the rate-card calc for that reason."
Nykaa (FSN E-Commerce),Overall,FY25,GMV,15604,INR_crore,gov_gmv,"Entrepreneur India, citing Nykaa FY25 results, +25% YoY",Directly disclosed
Nykaa (FSN E-Commerce),Overall,FY26,GMV,19963,INR_crore,gov_gmv,"InvestyWise, citing Nykaa FY26 results, +28% YoY",Directly disclosed
Nykaa (FSN E-Commerce),Overall,FY25,Marketing/ad SPEND,995,INR_crore,ad_SPEND_not_ad_revenue_EXCLUDED,"Storyboard18, Nykaa FY25 ad-spend report, +35% YoY from INR 739cr FY24","This is money Nykaa spends buying ads (on Google/Meta/etc), NOT revenue Nykaa earns selling ad placements to brands on its own platform. Wrong metric for a rate-card benchmark — recorded here specifically to document why it was excluded, not used in any calculation."
Eternal (Zomato/Blinkit),Overall,Q4 FY26,Total revenue,17292,INR_crore,revenue,"Appreciate Wealth / ChartAlert, Eternal Q4 FY26 results, +196% YoY",Directly disclosed
Eternal (Zomato/Blinkit),Blinkit,Q4 FY26,Segment revenue,13232,INR_crore,revenue,"Sahi.com / Ziro Market, Eternal Q4 FY26 results (76.5% of quarterly revenue)","Blinkit moved to an inventory-led model from Q1 FY26 — revenue captures full value of goods sold, not just commission/take-rate. Not directly comparable to a GMV/GOV-based rate-card metric without further adjustment — documented, not adjusted for, in this pass."
Eternal (Zomato/Blinkit),Overall,Q4 FY26,Ad spend (AdEx),936,INR_crore,ad_SPEND_not_ad_revenue_EXCLUDED,"Storyboard18, Eternal Q4 FY26 ad-spend report","Same trap as Nykaa: this is Eternal's own marketing spend as an advertiser, not its ad-revenue as a retail-media seller. Excluded from the rate-card calc."
Eternal (Zomato/Blinkit),Overall,FY25,Take rate,31,pct,blended_take_rate_not_ad_only,"LinkedIn/Startup Pedia summary of Eternal Q2 FY26 commentary","Company commentary attributes take-rate growth partly to 'advertising revenue from restaurants' but does not disclose ad revenue as a standalone line. Directional only — not usable as a point estimate."
